No,group,Topic,Category,issues,identify_cause,initial_theme
1,MOGSC,HSE and Quality,HUCSU & Offshore Maintenance,Revision of CSP25 (Safe House Habitat) by Petronas.,"- Requirements for Habitat Technicians and Supervisors to attend EX Training and sit for evaluations.
'- Difficult to pass EX evaluation due to - general worker (20% passing rate)
'- Manpower and Equipment to comply by October 2023.
",Capability
1,MOSVA,Others,Marine & Logistics,Marine Crew Work Permit to get more support and intervention from PCSB to Immigration to chase the onhire date.,Local Authorities implementation,Sabah & Sarawak
1,PAC,Capability and Technology,Others (e.g. more than one categories),"Low availability of marine vessels in the market to support offshore project/operational activities, which also results in high DCR rates and impacting PAC budget commitments",High demand for marine vessels due to High level of activities in the region ,Contract
2,PAC,Capability and Technology,Others (e.g. more than one categories),Shortage of local skilled manpower (10-15 year experience),Potentially due to reducing work opportunities/projects in the region and post pandemic impact,Capability
3,MOGSC,HSE and Quality,HUCSU & Offshore Maintenance,"Petronas - SHO (Green Book) required all the time at every work location (onshore & offshore).

Other PACs - As long SHO registered in project team is sufficient, site team can be supported by Site Safety Supervisor (SSS)(Yellow Book) in lieu of SHO.",- Different standards practices across different Clients and regions.,HSE
4,MOGSC,HSE and Quality,Subsurface,Human behavior-human error,"Low motivation, lack awareness, complacency",HSE
4,PETRONAS,Capability and Technology,Others (e.g. more than one categories),Mostly main con is not capable and relying 100% to their subcon ,"it is in the contract provision, limited insufficient investment thus main acting as middle party only",Contract
5,MOGSC,HSE and Quality,Subsurface,"Standardize of HSE 

'Exe. Lifting standards, certain PACs require DNV, some BSEN, some Or, some ONLY",Non-standard inspections guideline ,HSE
5,MOSVA,HSE and Quality,Marine & Logistics,"Safety concern with Technical Requirement Spec
","1. Motion Compensated Gangway for SAFINA 1 FCB - Most of client facilities offshore are not ready.

2. AHTS (Personal Landing Platform) in current contract

3. Capability of the locally-built aluminium FCB for SAFINA 1 tender. E.g. limited local shipyard",Contract
5,PAC,HSE and Quality,Others (e.g. more than one categories),Lack of local talent to support the OGSE companies to deliver,,Capability
6,PETRONAS,HSE and Quality,Projects/ EPCC,Inability to deliver contract as per requirement.,"1. Contractor bid for the Contract they're not well versed in.
2. Lack of knowledge in the subject leading to wrong intrepretation lead to low bidding price.",Contract
